Date,Time,State,Candidate,Party,Traffic
2016-03-12,1:00:00,MO,sanders,dem,42
2016-03-12,2:00:00,MO,sanders,dem,43
2016-03-12,3:00:00,MO,sanders,dem,49
2016-03-12,4:00:00,MO,sanders,dem,50
2016-03-12,5:00:00,MO,sanders,dem,41
2016-03-12,6:00:00,MO,sanders,dem,40
2016-03-12,7:00:00,MO,sanders,dem,43
2016-03-12,8:00:00,MO,sanders,dem,42
2016-03-12,9:00:00,MO,sanders,dem,38
2016-03-12,10:00:00,MO,sanders,dem,33
2016-03-12,11:00:00,MO,sanders,dem,27
2016-03-12,12:00:00,MO,sanders,dem,29
2016-03-12,13:00:00,MO,sanders,dem,31
2016-03-12,14:00:00,MO,sanders,dem,32
2016-03-12,15:00:00,MO,sanders,dem,36
2016-03-12,16:00:00,MO,sanders,dem,36
2016-03-12,17:00:00,MO,sanders,dem,34
2016-03-12,18:00:00,MO,sanders,dem,41
2016-03-12,19:00:00,MO,sanders,dem,40
2016-03-12,20:00:00,MO,sanders,dem,43
2016-03-12,21:00:00,MO,sanders,dem,43
2016-03-12,22:00:00,MO,sanders,dem,43
2016-03-12,23:00:00,MO,sanders,dem,46
2016-03-13,0:00:00,MO,sanders,dem,55
2016-03-13,1:00:00,MO,sanders,dem,51
2016-03-13,2:00:00,MO,sanders,dem,43
2016-03-13,3:00:00,MO,sanders,dem,51
2016-03-13,4:00:00,MO,sanders,dem,75
2016-03-13,5:00:00,MO,sanders,dem,51
2016-03-13,6:00:00,MO,sanders,dem,55
2016-03-13,7:00:00,MO,sanders,dem,36
2016-03-13,8:00:00,MO,sanders,dem,30
2016-03-13,9:00:00,MO,sanders,dem,37
2016-03-13,10:00:00,MO,sanders,dem,39
2016-03-13,11:00:00,MO,sanders,dem,44
2016-03-13,12:00:00,MO,sanders,dem,46
2016-03-13,13:00:00,MO,sanders,dem,54
2016-03-13,14:00:00,MO,sanders,dem,62
2016-03-13,15:00:00,MO,sanders,dem,57
2016-03-13,16:00:00,MO,sanders,dem,52
2016-03-13,17:00:00,MO,sanders,dem,50
2016-03-13,18:00:00,MO,sanders,dem,42
2016-03-13,19:00:00,MO,sanders,dem,41
2016-03-13,20:00:00,MO,sanders,dem,41
2016-03-13,21:00:00,MO,sanders,dem,37
2016-03-13,22:00:00,MO,sanders,dem,40
2016-03-13,23:00:00,MO,sanders,dem,36
2016-03-14,0:00:00,MO,sanders,dem,45
2016-03-14,1:00:00,MO,sanders,dem,44
2016-03-14,2:00:00,MO,sanders,dem,45
2016-03-14,3:00:00,MO,sanders,dem,62
2016-03-14,4:00:00,MO,sanders,dem,41
2016-03-14,5:00:00,MO,sanders,dem,44
2016-03-14,6:00:00,MO,sanders,dem,39
2016-03-14,7:00:00,MO,sanders,dem,49
2016-03-14,8:00:00,MO,sanders,dem,41
2016-03-14,9:00:00,MO,sanders,dem,36
2016-03-14,10:00:00,MO,sanders,dem,35
2016-03-14,11:00:00,MO,sanders,dem,38
2016-03-14,12:00:00,MO,sanders,dem,37
2016-03-14,13:00:00,MO,sanders,dem,36
2016-03-14,14:00:00,MO,sanders,dem,34
2016-03-14,15:00:00,MO,sanders,dem,36
2016-03-14,16:00:00,MO,sanders,dem,32
2016-03-14,17:00:00,MO,sanders,dem,38
2016-03-14,18:00:00,MO,sanders,dem,34
2016-03-14,19:00:00,MO,sanders,dem,36
2016-03-14,20:00:00,MO,sanders,dem,36
2016-03-14,21:00:00,MO,sanders,dem,40
2016-03-14,22:00:00,MO,sanders,dem,55
2016-03-14,23:00:00,MO,sanders,dem,58
2016-03-15,0:00:00,MO,sanders,dem,55
2016-03-15,1:00:00,MO,sanders,dem,53
2016-03-15,2:00:00,MO,sanders,dem,64
2016-03-15,3:00:00,MO,sanders,dem,74
2016-03-15,4:00:00,MO,sanders,dem,65
2016-03-15,5:00:00,MO,sanders,dem,55
2016-03-15,6:00:00,MO,sanders,dem,57
2016-03-15,7:00:00,MO,sanders,dem,50
2016-03-15,8:00:00,MO,sanders,dem,32
2016-03-15,9:00:00,MO,sanders,dem,43
2016-03-15,10:00:00,MO,sanders,dem,59
2016-03-15,11:00:00,MO,sanders,dem,66
2016-03-15,12:00:00,MO,sanders,dem,58
2016-03-15,13:00:00,MO,sanders,dem,57
2016-03-15,14:00:00,MO,sanders,dem,58
2016-03-15,15:00:00,MO,sanders,dem,49
2016-03-15,16:00:00,MO,sanders,dem,58
2016-03-15,17:00:00,MO,sanders,dem,59
2016-03-15,18:00:00,MO,sanders,dem,54
2016-03-15,19:00:00,MO,sanders,dem,52
2016-03-15,20:00:00,MO,sanders,dem,48
2016-03-15,21:00:00,MO,sanders,dem,67
2016-03-15,22:00:00,MO,sanders,dem,75
2016-03-15,23:00:00,MO,sanders,dem,66
2016-03-16,0:00:00,MO,sanders,dem,81
2016-03-16,1:00:00,MO,sanders,dem,89
2016-03-16,2:00:00,MO,sanders,dem,89
